"ZIPCode","State","City","County","StateFIPS","CountyFIPS","Latitude","Longitude","Preference","Type"
"68001","NE","Abie","Butler","31","23","41.33","-96.95","A","POB"
"68002","NE","Arlington","Washington","31","177","41.49","-96.34","A","GD"
"68003","NE","Ashland","Saunders","31","155","41.07","-96.37","A","GD"
"68004","NE","Bancroft","Cuming","31","39","42.01","-96.62","A","GD"
"68005","NE","Bellevue","Sarpy","31","153","41.15","-95.9","A","GD"
"68007","NE","Bennington","Douglas","31","55","41.35","-96.17","A","GD"
"68008","NE","Blair","Washington","31","177","41.54","-96.14","A","GD"
"68009","NE","Blair","Washington","31","177","41.56","-96.25","A","POB"
"68010","NE","Boys Town","Douglas","31","55","41.26","-96.13","A","POB"
"68014","NE","Bruno","Butler","31","23","41.28","-96.96","A","GD"
"68015","NE","Cedar Bluffs","Saunders","31","155","41.39","-96.64","A","GD"
"68016","NE","Cedar Creek","Cass","31","25","41.04","-96.11","A","POB"
"68017","NE","Ceresco","Saunders","31","155","41.07","-96.65","A","GD"
"68018","NE","Colon","Saunders","31","155","41.31","-96.62","A","GD"
"68019","NE","Craig","Burt","31","21","41.78","-96.37","A","GD"
"68020","NE","Decatur","Burt","31","21","41.99","-96.26","A","GD"
"68022","NE","Elkhorn","Douglas","31","55","41.27","-96.24","A","GD"
"68023","NE","Fort Calhoun","Washington","31","177","41.45","-96.03","A","GD"
"68025","NE","Fremont","Dodge","31","53","41.43","-96.49","A","GD"
"68026","NE","Fremont","Dodge","31","53","41.44","-96.49","A","POB"
"68028","NE","Gretna","Sarpy","31","153","41.12","-96.25","A","GD"
"68029","NE","Herman","Washington","31","177","41.66","-96.27","A","GD"
"68030","NE","Homer","Dakota","31","43","42.32","-96.46","A","GD"
"68031","NE","Hooper","Dodge","31","53","41.63","-96.53","A","GD"
"68033","NE","Ithaca","Saunders","31","155","41.14","-96.51","A","GD"
"68034","NE","Kennard","Washington","31","177","41.46","-96.21","A","GD"
"68036","NE","Linwood","Butler","31","23","41.4","-96.96","A","GD"
"68037","NE","Louisville","Cass","31","25","41","-96.14","A","GD"
"68038","NE","Lyons","Burt","31","21","41.95","-96.47","A","GD"
"68039","NE","Macy","Thurston","31","173","42.11","-96.34","A","GD"
"68040","NE","Malmo","Saunders","31","155","41.29","-96.74","A","GD"
"68041","NE","Mead","Saunders","31","155","41.23","-96.49","A","GD"
"68042","NE","Memphis","Saunders","31","155","41.1","-96.44","A","GD"
"68044","NE","Nickerson","Dodge","31","53","41.54","-96.46","A","GD"
"68045","NE","Oakland","Burt","31","21","41.83","-96.48","A","GD"
"68046","NE","Papillion","Sarpy","31","153","41.15","-96.05","A","GD"
"68047","NE","Pender","Thurston","31","173","42.11","-96.73","A","GD"
"68048","NE","Plattsmouth","Cass","31","25","41","-95.91","A","GD"
"68050","NE","Prague","Saunders","31","155","41.31","-96.84","A","GD"
"68055","NE","Rosalie","Thurston","31","173","42.05","-96.49","A","GD"
"68056","NE","St Columbans","Sarpy","31","153","41.09","-96.05","A","GD"
"68057","NE","Scribner","Dodge","31","53","41.66","-96.7","A","GD"
"68058","NE","South Bend","Cass","31","25","41","-96.25","A","POB"
"68059","NE","Springfield","Sarpy","31","153","41.06","-96.15","A","GD"
"68061","NE","Tekamah","Burt","31","21","41.79","-96.22","A","GD"
"68062","NE","Thurston","Thurston","31","173","42.18","-96.68","A","GD"
"68063","NE","Uehling","Dodge","31","53","41.73","-96.5","A","POB"
"68064","NE","Valley","Douglas","31","55","41.33","-96.35","A","GD"
"68065","NE","Valparaiso","Saunders","31","155","41.08","-96.85","A","GD"
"68066","NE","Wahoo","Saunders","31","155","41.2","-96.62","A","GD"
"68067","NE","Walthill","Thurston","31","173","42.15","-96.49","A","GD"
"68068","NE","Washington","Washington","31","177","41.4","-96.21","A","GD"
"68069","NE","Waterloo","Douglas","31","55","41.25","-96.31","A","GD"
"68070","NE","Weston","Saunders","31","155","41.21","-96.79","A","GD"
"68071","NE","Winnebago","Thurston","31","173","42.23","-96.47","A","GD"
"68072","NE","Winslow","Dodge","31","53","41.61","-96.51","A","POB"
"68073","NE","Yutan","Saunders","31","155","41.25","-96.4","A","GD"
"68101","NE","Omaha","Douglas","31","55","41.26","-95.93","A","POB"
"68102","NE","Omaha","Douglas","31","55","41.26","-95.94","A","GD"
"68103","NE","Omaha","Douglas","31","55","41.26","-95.94","A","POB"
"68104","NE","Omaha","Douglas","31","55","41.29","-96","A","GD"
"68105","NE","Omaha","Douglas","31","55","41.24","-95.96","A","GD"
"68106","NE","Omaha","Douglas","31","55","41.24","-96","A","GD"
"68107","NE","Omaha","Douglas","31","55","41.21","-95.96","A","GD"
"68108","NE","Omaha","Douglas","31","55","41.24","-95.93","A","GD"
"68109","NE","Omaha","Douglas","31","55","41.24","-95.93","A","POB"
"68110","NE","Omaha","Douglas","31","55","41.29","-95.93","A","GD"
"68111","NE","Omaha","Douglas","31","55","41.29","-95.96","A","GD"
"68112","NE","Omaha","Douglas","31","55","41.34","-95.96","A","GD"
"68113","NE","Offutt Afb","Sarpy","31","153","41.12","-95.92","A","GD"
"68114","NE","Omaha","Douglas","31","55","41.26","-96.05","A","GD"
"68116","NE","Omaha","Douglas","31","55","41.3","-96.16","A","GD"
"68117","NE","Omaha","Douglas","31","55","41.21","-96","A","GD"
"68118","NE","Omaha","Douglas","31","55","41.26","-96.18","A","GD"
"68119","NE","Omaha","Douglas","31","55","41.31","-95.91","A","POB"
"68120","NE","Omaha","Douglas","31","55","41.28","-95.95","A","POB"
"68122","NE","Omaha","Douglas","31","55","41.34","-96.05","A","GD"
"68123","NE","Bellevue","Sarpy","31","153","41.12","-95.95","A","GD"
"68124","NE","Omaha","Douglas","31","55","41.24","-96.05","A","GD"
"68127","NE","Omaha","Douglas","31","55","41.2","-96.05","A","GD"
"68128","NE","La Vista","Sarpy","31","153","41.18","-96.06","A","GD"
"68130","NE","Omaha","Douglas","31","55","41.24","-96.19","A","GD"
"68131","NE","Omaha","Douglas","31","55","41.26","-95.96","A","GD"
"68132","NE","Omaha","Douglas","31","55","41.27","-96","A","GD"
"68133","NE","Papillion","Sarpy","31","153","41.14","-96","A","GD"
"68134","NE","Omaha","Douglas","31","55","41.3","-96.05","A","GD"
"68135","NE","Omaha","Douglas","31","55","41.2","-96.19","A","GD"
"68136","NE","Omaha","Sarpy","31","153","41.18","-96.18","A","GD"
"68137","NE","Omaha","Douglas","31","55","41.21","-96.12","A","GD"
