"ZIPCode","State","City","County","StateFIPS","CountyFIPS","Latitude","Longitude","Preference","Type"
"20588","MD","Dhs","Howard","24","27","38.88","-77.02","A","PVT"
"20601","MD","Waldorf","Charles","24","17","38.62","-76.87","A","GD"
"20602","MD","Waldorf","Charles","24","17","38.59","-76.9","A","GD"
"20603","MD","Waldorf","Charles","24","17","38.63","-76.96","A","GD"
"20604","MD","Waldorf","Charles","24","17","38.62","-76.89","A","POB"
"20606","MD","Abell","Saint Marys","24","37","38.25","-76.74","A","GD"
"20607","MD","Accokeek","Prince Georges","24","33","38.67","-77.01","A","GD"
"20608","MD","Aquasco","Prince Georges","24","33","38.57","-76.7","A","GD"
"20609","MD","Avenue","Saint Marys","24","37","38.26","-76.76","A","GD"
"20610","MD","Barstow","Calvert","24","9","38.53","-76.61","A","POB"
"20611","MD","Bel Alton","Charles","24","17","38.46","-76.99","A","GD"
"20612","MD","Benedict","Charles","24","17","38.51","-76.68","A","POB"
"20613","MD","Brandywine","Prince Georges","24","33","38.67","-76.81","A","GD"
"20615","MD","Broomes Island","Calvert","24","9","38.42","-76.55","A","GD"
"20616","MD","Bryans Road","Charles","24","17","38.64","-77.07","A","GD"
"20617","MD","Bryantown","Charles","24","17","38.54","-76.84","A","GD"
"20618","MD","Bushwood","Saint Marys","24","37","38.27","-76.8","A","GD"
"20619","MD","California","Saint Marys","24","37","38.3","-76.52","A","GD"
"20620","MD","Callaway","Saint Marys","24","37","38.23","-76.52","A","GD"
"20621","MD","Chaptico","Saint Marys","24","37","38.31","-76.81","A","GD"
"20622","MD","Charlotte Hall","Charles","24","17","38.46","-76.84","A","GD"
"20623","MD","Cheltenham","Prince Georges","24","33","38.74","-76.83","A","GD"
"20624","MD","Clements","Saint Marys","24","37","38.33","-76.73","A","GD"
"20625","MD","Cobb Island","Charles","24","17","38.26","-76.85","A","POB"
"20626","MD","Coltons Point","Saint Marys","24","37","38.23","-76.76","A","GD"
"20627","MD","Compton","Saint Marys","24","37","38.31","-76.63","A","POB"
"20628","MD","Dameron","Saint Marys","24","37","38.14","-76.34","A","GD"
"20629","MD","Dowell","Calvert","24","9","38.33","-76.45","A","POB"
"20630","MD","Drayden","Saint Marys","24","37","38.16","-76.48","A","GD"
"20632","MD","Faulkner","Charles","24","17","38.42","-76.96","A","GD"
"20634","MD","Great Mills","Saint Marys","24","37","38.26","-76.49","A","GD"
"20635","MD","Helen","Saint Marys","24","37","38.33","-76.79","A","POB"
"20636","MD","Hollywood","Saint Marys","24","37","38.34","-76.56","A","GD"
"20637","MD","Hughesville","Charles","24","17","38.53","-76.78","A","GD"
"20639","MD","Huntingtown","Calvert","24","9","38.6","-76.61","A","GD"
"20640","MD","Indian Head","Charles","24","17","38.58","-77.17","A","GD"
"20643","MD","Ironsides","Charles","24","17","38.49","-77.16","A","POB"
"20645","MD","Issue","Charles","24","17","38.3","-76.91","A","GD"
"20646","MD","La Plata","Charles","24","17","38.53","-76.99","A","GD"
"20650","MD","Leonardtown","Saint Marys","24","37","38.27","-76.65","A","GD"
"20653","MD","Lexington Park","Saint Marys","24","37","38.25","-76.45","A","GD"
"20656","MD","Loveville","Saint Marys","24","37","38.35","-76.68","A","GD"
"20657","MD","Lusby","Calvert","24","9","38.38","-76.44","A","GD"
"20658","MD","Marbury","Charles","24","17","38.57","-77.16","A","GD"
"20659","MD","Mechanicsville","Saint Marys","24","37","38.43","-76.73","A","GD"
"20660","MD","Morganza","Saint Marys","24","37","38.37","-76.7","A","POB"
"20661","MD","Mount Victoria","Charles","24","17","38.36","-76.9","A","POB"
"20662","MD","Nanjemoy","Charles","24","17","38.44","-77.2","A","GD"
"20664","MD","Newburg","Charles","24","17","38.35","-76.93","A","GD"
"20667","MD","Park Hall","Saint Marys","24","37","38.22","-76.44","A","GD"
"20670","MD","Patuxent River","Saint Marys","24","37","38.28","-76.43","A","GD"
"20674","MD","Piney Point","Saint Marys","24","37","38.13","-76.5","A","GD"
"20675","MD","Pomfret","Charles","24","17","38.58","-77.03","A","GD"
"20676","MD","Port Republic","Calvert","24","9","38.49","-76.54","A","GD"
"20677","MD","Port Tobacco","Charles","24","17","38.51","-77.04","A","GD"
"20678","MD","Prince Frederick","Calvert","24","9","38.53","-76.6","A","GD"
"20680","MD","Ridge","Saint Marys","24","37","38.11","-76.38","A","GD"
"20682","MD","Rock Point","Charles","24","17","38.35","-76.92","A","POB"
"20684","MD","Saint Inigoes","Saint Marys","24","37","38.15","-76.42","A","GD"
"20685","MD","Saint Leonard","Calvert","24","9","38.44","-76.51","A","GD"
"20686","MD","Saint Marys City","Saint Marys","24","37","38.18","-76.43","A","POB"
"20687","MD","Scotland","Saint Marys","24","37","38.07","-76.34","A","GD"
"20688","MD","Solomons","Calvert","24","9","38.34","-76.46","A","GD"
"20689","MD","Sunderland","Calvert","24","9","38.67","-76.58","A","GD"
"20690","MD","Tall Timbers","Saint Marys","24","37","38.17","-76.53","A","GD"
"20692","MD","Valley Lee","Saint Marys","24","37","38.18","-76.51","A","GD"
"20693","MD","Welcome","Charles","24","17","38.46","-77.09","A","GD"
"20695","MD","White Plains","Charles","24","17","38.59","-76.97","A","GD"
"20697","MD","Southern Md Facility","Prince Georges","24","33","39.03","-76.91","A","PVT"
"20701","MD","Annapolis Junction","Howard","24","27","39.13","-76.79","A","GD"
"20703","MD","Lanham","Prince Georges","24","33","38.98","-76.84","A","POB"
"20704","MD","Beltsville","Prince Georges","24","33","39.04","-76.91","A","POB"
"20705","MD","Beltsville","Prince Georges","24","33","39.05","-76.91","A","GD"
"20706","MD","Lanham","Prince Georges","24","33","38.96","-76.85","A","GD"
"20707","MD","Laurel","Prince Georges","24","33","39.1","-76.87","A","GD"
"20708","MD","Laurel","Prince Georges","24","33","39.06","-76.84","A","GD"
"20709","MD","Laurel","Prince Georges","24","33","39.07","-76.84","A","POB"
"20710","MD","Bladensburg","Prince Georges","24","33","38.94","-76.93","A","GD"
"20711","MD","Lothian","Anne Arundel","24","3","38.79","-76.67","A","GD"
"20712","MD","Mount Rainier","Prince Georges","24","33","38.94","-76.96","A","GD"
"20714","MD","North Beach","Calvert","24","9","38.71","-76.54","A","GD"
"20715","MD","Bowie","Prince Georges","24","33","38.98","-76.74","A","GD"
"20716","MD","Bowie","Prince Georges","24","33","38.93","-76.72","A","GD"
"20717","MD","Bowie","Prince Georges","24","33","39.01","-76.78","A","POB"
"20718","MD","Bowie","Prince Georges","24","33","38.98","-76.76","A","POB"
"20719","MD","Bowie","Prince Georges","24","33","38.96","-76.74","A","POB"
"20720","MD","Bowie","Prince Georges","24","33","38.98","-76.79","A","GD"
"20721","MD","Bowie","Prince Georges","24","33","38.92","-76.8","A","GD"
"20722","MD","Brentwood","Prince Georges","24","33","38.94","-76.95","A","GD"
