"ZIPCode","State","City","County","StateFIPS","CountyFIPS","Latitude","Longitude","Preference","Type"
"96910","GU","Hagatna","Guam","66","10","13.48","144.75","A","GD"
"96912","GU","Dededo","Guam","66","10","13.52","144.84","A","POB"
"96913","GU","Barrigada","Guam","66","10","13.46","144.79","A","GD"
"96915","GU","Santa Rita","Guam","66","10","13.39","144.67","A","GD"
"96916","GU","Merizo","Guam","66","10","13.27","144.67","A","POB"
"96917","GU","Inarajan","Guam","66","10","13.28","144.74","A","POB"
"96919","GU","Agana Heights","Guam","66","10","13.46","144.74","A","GD"
"96921","GU","Barrigada","Guam","66","10","13.46","144.79","A","POB"
"96923","GU","Mangilao","Guam","66","10","13.44","144.8","A","POB"
"96928","GU","Agat","Guam","66","10","13.38","144.66","A","POB"
"96929","GU","Yigo","Guam","66","10","13.54","144.9","A","GD"
"96931","GU","Tamuning","Guam","66","10","13.49","144.78","A","POB"
"96932","GU","Hagatna","Guam","66","10","13.48","144.75","A","POB"
