"ZIPCode","State","City","County","StateFIPS","CountyFIPS","Latitude","Longitude","Preference","Type"
"60001","IL","Alden","Mchenry","17","111","42.42","-88.62","A","POB"
"60002","IL","Antioch","Lake","17","97","42.47","-88.1","A","GD"
"60004","IL","Arlington Heights","Cook","17","31","42.11","-87.98","A","GD"
"60005","IL","Arlington Heights","Cook","17","31","42.06","-87.98","A","GD"
"60006","IL","Arlington Heights","Cook","17","31","42.13","-88.09","A","POB"
"60007","IL","Elk Grove Village","Cook","17","31","42.01","-88","A","GD"
"60008","IL","Rolling Meadows","Cook","17","31","42.07","-88.02","A","GD"
"60009","IL","Elk Grove Village","Cook","17","31","42.01","-87.99","A","POB"
"60010","IL","Barrington","Lake","17","97","42.16","-88.15","A","GD"
"60011","IL","Barrington","Lake","17","97","42.18","-88.22","A","POB"
"60012","IL","Crystal Lake","Mchenry","17","111","42.27","-88.32","A","GD"
"60013","IL","Cary","Mchenry","17","111","42.22","-88.24","A","GD"
"60014","IL","Crystal Lake","Mchenry","17","111","42.23","-88.33","A","GD"
"60015","IL","Deerfield","Lake","17","97","42.17","-87.87","A","GD"
"60016","IL","Des Plaines","Cook","17","31","42.05","-87.89","A","GD"
"60017","IL","Des Plaines","Cook","17","31","42.02","-87.9","A","POB"
"60018","IL","Des Plaines","Cook","17","31","42.01","-87.89","A","GD"
"60019","IL","Des Plaines","Cook","17","31","42.02","-87.9","A","PVT"
"60020","IL","Fox Lake","Lake","17","97","42.39","-88.17","A","GD"
"60021","IL","Fox River Grove","Mchenry","17","111","42.19","-88.22","A","GD"
"60022","IL","Glencoe","Cook","17","31","42.13","-87.76","A","GD"
"60025","IL","Glenview","Cook","17","31","42.07","-87.82","A","GD"
"60026","IL","Glenview","Cook","17","31","42.09","-87.84","A","GD"
"60029","IL","Golf","Cook","17","31","42.06","-87.78","A","POB"
"60030","IL","Grayslake","Lake","17","97","42.34","-88.03","A","GD"
"60031","IL","Gurnee","Lake","17","97","42.38","-87.94","A","GD"
"60033","IL","Harvard","Mchenry","17","111","42.42","-88.61","A","GD"
"60034","IL","Hebron","Mchenry","17","111","42.47","-88.43","A","GD"
"60035","IL","Highland Park","Lake","17","97","42.18","-87.81","A","GD"
"60037","IL","Fort Sheridan","Lake","17","97","42.23","-87.81","A","GD"
"60038","IL","Palatine","Cook","17","31","42.1","-88.01","A","PVT"
"60039","IL","Crystal Lake","Mchenry","17","111","42.23","-88.33","A","POB"
"60040","IL","Highwood","Lake","17","97","42.21","-87.81","A","GD"
"60041","IL","Ingleside","Lake","17","97","42.37","-88.15","A","GD"
"60042","IL","Island Lake","Lake","17","97","42.28","-88.2","A","GD"
"60043","IL","Kenilworth","Cook","17","31","42.09","-87.72","A","GD"
"60044","IL","Lake Bluff","Lake","17","97","42.29","-87.86","A","GD"
"60045","IL","Lake Forest","Lake","17","97","42.24","-87.86","A","GD"
"60046","IL","Lake Villa","Lake","17","97","42.41","-88.06","A","GD"
"60047","IL","Lake Zurich","Lake","17","97","42.2","-88.06","A","GD"
"60048","IL","Libertyville","Lake","17","97","42.29","-87.95","A","GD"
