"ZIPCode","State","City","County","StateFIPS","CountyFIPS","Latitude","Longitude","Preference","Type"
"80001","CO","Arvada","Jefferson","8","59","39.8","-105.09","A","POB"
"80002","CO","Arvada","Jefferson","8","59","39.8","-105.09","A","GD"
"80003","CO","Arvada","Jefferson","8","59","39.83","-105.06","A","GD"
"80004","CO","Arvada","Jefferson","8","59","39.81","-105.12","A","GD"
"80005","CO","Arvada","Jefferson","8","59","39.84","-105.12","A","GD"
"80006","CO","Arvada","Jefferson","8","59","39.85","-105.08","A","POB"
"80007","CO","Arvada","Jefferson","8","59","39.84","-105.19","A","GD"
"80010","CO","Aurora","Arapahoe","8","5","39.74","-104.86","A","GD"
"80011","CO","Aurora","Arapahoe","8","5","39.74","-104.81","A","GD"
"80012","CO","Aurora","Arapahoe","8","5","39.7","-104.84","A","GD"
"80013","CO","Aurora","Arapahoe","8","5","39.66","-104.78","A","GD"
"80014","CO","Aurora","Arapahoe","8","5","39.66","-104.84","A","GD"
"80015","CO","Aurora","Arapahoe","8","5","39.62","-104.77","A","GD"
"80016","CO","Aurora","Arapahoe","8","5","39.6","-104.73","A","GD"
"80017","CO","Aurora","Arapahoe","8","5","39.69","-104.79","A","GD"
"80018","CO","Aurora","Arapahoe","8","5","39.7","-104.71","A","GD"
"80019","CO","Aurora","Adams","8","1","39.78","-104.73","A","GD"
"80020","CO","Broomfield","Broomfield","8","14","39.92","-105.07","A","GD"
"80021","CO","Broomfield","Jefferson","8","59","39.89","-105.11","A","GD"
"80022","CO","Commerce City","Adams","8","1","39.86","-104.87","A","GD"
"80023","CO","Broomfield","Broomfield","8","14","39.97","-105.02","A","GD"
"80024","CO","Dupont","Adams","8","1","39.84","-104.92","A","POB"
"80025","CO","Eldorado Springs","Boulder","8","13","39.93","-105.29","A","POB"
"80026","CO","Lafayette","Boulder","8","13","40","-105.1","A","GD"
"80027","CO","Louisville","Boulder","8","13","39.96","-105.15","A","GD"
"80030","CO","Westminster","Adams","8","1","39.83","-105.04","A","GD"
"80031","CO","Westminster","Adams","8","1","39.87","-105.04","A","GD"
"80033","CO","Wheat Ridge","Jefferson","8","59","39.77","-105.1","A","GD"
"80034","CO","Wheat Ridge","Jefferson","8","59","39.77","-105.08","A","POB"
"80035","CO","Westminster","Adams","8","1","39.86","-105.04","A","POB"
"80036","CO","Westminster","Adams","8","1","39.86","-105.04","A","POB"
"80037","CO","Commerce City","Adams","8","1","39.82","-104.91","A","POB"
"80038","CO","Broomfield","Broomfield","8","14","39.92","-105.09","A","POB"
"80040","CO","Aurora","Adams","8","1","39.74","-104.88","A","POB"
"80041","CO","Aurora","Arapahoe","8","5","39.7","-104.84","A","POB"
"80042","CO","Aurora","Adams","8","1","39.74","-104.81","A","POB"
"80044","CO","Aurora","Arapahoe","8","5","39.75","-104.82","A","POB"
"80045","CO","Aurora","Adams","8","1","39.75","-104.84","A","GD"
"80046","CO","Aurora","Arapahoe","8","5","39.63","-104.8","A","POB"
"80047","CO","Aurora","Arapahoe","8","5","39.7","-104.77","A","GD"
"80101","CO","Agate","Elbert","8","39","39.4","-103.97","A","GD"
"80102","CO","Bennett","Adams","8","1","39.77","-104.43","A","GD"
"80103","CO","Byers","Arapahoe","8","5","39.72","-104.16","A","GD"
"80104","CO","Castle Rock","Douglas","8","35","39.36","-104.84","A","GD"
"80105","CO","Deer Trail","Arapahoe","8","5","39.65","-104.03","A","GD"
"80106","CO","Elbert","El Paso","8","41","39.13","-104.56","A","GD"
"80107","CO","Elizabeth","Elbert","8","39","39.4","-104.59","A","GD"
"80108","CO","Castle Rock","Douglas","8","35","39.45","-104.87","A","GD"
"80109","CO","Castle Rock","Douglas","8","35","39.39","-104.89","A","GD"
"80110","CO","Englewood","Arapahoe","8","5","39.64","-105.01","A","GD"
"80111","CO","Englewood","Arapahoe","8","5","39.61","-104.88","A","GD"
"80112","CO","Englewood","Arapahoe","8","5","39.58","-104.87","A","GD"
"80113","CO","Englewood","Arapahoe","8","5","39.65","-104.97","A","GD"
"80116","CO","Franktown","Douglas","8","35","39.31","-104.71","A","GD"
"80117","CO","Kiowa","Elbert","8","39","39.36","-104.41","A","GD"
"80118","CO","Larkspur","Douglas","8","35","39.21","-104.89","A","GD"
"80120","CO","Littleton","Arapahoe","8","5","39.6","-105.01","A","GD"
"80121","CO","Littleton","Arapahoe","8","5","39.61","-104.96","A","GD"
"80122","CO","Littleton","Arapahoe","8","5","39.58","-104.96","A","GD"
"80123","CO","Littleton","Jefferson","8","59","39.62","-105.07","A","GD"
"80124","CO","Lone Tree","Douglas","8","35","39.54","-104.89","A","GD"
"80125","CO","Littleton","Douglas","8","35","39.49","-105.05","A","GD"
"80126","CO","Littleton","Douglas","8","35","39.54","-104.96","A","GD"
"80127","CO","Littleton","Jefferson","8","59","39.59","-105.13","A","GD"
"80128","CO","Littleton","Jefferson","8","59","39.57","-105.08","A","GD"
"80129","CO","Littleton","Douglas","8","35","39.54","-105.01","A","GD"
"80130","CO","Littleton","Douglas","8","35","39.54","-104.92","A","GD"
"80131","CO","Louviers","Douglas","8","35","39.48","-105.01","A","POB"
"80132","CO","Monument","El Paso","8","41","39.09","-104.86","A","GD"
"80133","CO","Palmer Lake","El Paso","8","41","39.11","-104.92","A","GD"
"80134","CO","Parker","Douglas","8","35","39.51","-104.79","A","GD"
"80135","CO","Sedalia","Douglas","8","35","39.3","-105.08","A","GD"
"80136","CO","Strasburg","Adams","8","1","39.77","-104.32","A","GD"
"80137","CO","Watkins","Adams","8","1","39.77","-104.6","A","GD"
"80138","CO","Parker","Douglas","8","35","39.52","-104.71","A","GD"
"80150","CO","Englewood","Arapahoe","8","5","39.64","-104.98","A","POB"
"80151","CO","Englewood","Arapahoe","8","5","39.64","-104.98","A","POB"
"80155","CO","Englewood","Arapahoe","8","5","39.59","-104.88","A","POB"
"80160","CO","Littleton","Arapahoe","8","5","39.61","-105.02","A","POB"
"80161","CO","Littleton","Arapahoe","8","5","39.6","-104.96","A","POB"
"80162","CO","Littleton","Jefferson","8","59","39.6","-105.11","A","POB"
"80163","CO","Littleton","Douglas","8","35","39.55","-104.97","A","POB"
"80165","CO","Littleton","Arapahoe","8","5","39.59","-105.01","A","PVT"
"80166","CO","Littleton","Arapahoe","8","5","39.59","-105.01","A","PVT"
"80201","CO","Denver","Denver","8","31","39.75","-104.99","A","POB"
"80202","CO","Denver","Denver","8","31","39.75","-105","A","GD"
"80203","CO","Denver","Denver","8","31","39.73","-104.98","A","GD"
"80204","CO","Denver","Denver","8","31","39.73","-105.02","A","GD"
"80205","CO","Denver","Denver","8","31","39.76","-104.97","A","GD"
"80206","CO","Denver","Denver","8","31","39.73","-104.95","A","GD"
"80207","CO","Denver","Denver","8","31","39.76","-104.92","A","GD"
"80208","CO","Denver","Denver","8","31","39.68","-104.96","A","PVT"
"80209","CO","Denver","Denver","8","31","39.71","-104.97","A","GD"
"80210","CO","Denver","Denver","8","31","39.68","-104.96","A","GD"
"80211","CO","Denver","Denver","8","31","39.77","-105.02","A","GD"
"80212","CO","Denver","Denver","8","31","39.77","-105.05","A","GD"
"80214","CO","Denver","Jefferson","8","59","39.74","-105.07","A","GD"
"80215","CO","Denver","Jefferson","8","59","39.74","-105.11","A","GD"
