"ZIPCode","State","City","County","StateFIPS","CountyFIPS","Latitude","Longitude","Preference","Type"
"99501","AK","Anchorage","Anchorage","2","20","61.22","-149.88","A","GD"
"99502","AK","Anchorage","Anchorage","2","20","61.16","-149.96","A","GD"
"99503","AK","Anchorage","Anchorage","2","20","61.19","-149.91","A","GD"
"99504","AK","Anchorage","Anchorage","2","20","61.2","-149.75","A","GD"
"99505","AK","Jber","Anchorage","2","20","61.26","-149.68","A","GD"
"99506","AK","Jber","Anchorage","2","20","61.24","-149.81","A","GD"
"99507","AK","Anchorage","Anchorage","2","20","61.15","-149.81","A","GD"
"99508","AK","Anchorage","Anchorage","2","20","61.2","-149.81","A","GD"
"99509","AK","Anchorage","Anchorage","2","20","61.18","-149.88","A","POB"
"99510","AK","Anchorage","Anchorage","2","20","70.44","-150.29","A","POB"
"99511","AK","Anchorage","Anchorage","2","20","61.12","-149.86","A","POB"
"99513","AK","Anchorage","Anchorage","2","20","61.21","-149.89","A","GD"
"99514","AK","Anchorage","Anchorage","2","20","61.21","-149.83","A","POB"
"99515","AK","Anchorage","Anchorage","2","20","61.12","-149.88","A","GD"
"99516","AK","Anchorage","Anchorage","2","20","61.09","-149.78","A","GD"
"99517","AK","Anchorage","Anchorage","2","20","61.19","-149.93","A","GD"
"99518","AK","Anchorage","Anchorage","2","20","61.16","-149.88","A","GD"
"99519","AK","Anchorage","Anchorage","2","20","69.91","-147.54","A","POB"
"99520","AK","Anchorage","Anchorage","2","20","61.21","-149.87","A","POB"
"99521","AK","Anchorage","Anchorage","2","20","61.21","-149.75","A","POB"
"99522","AK","Anchorage","Anchorage","2","20","61.15","-149.92","A","POB"
"99523","AK","Anchorage","Anchorage","2","20","61.17","-149.84","A","POB"
"99524","AK","Anchorage","Anchorage","2","20","61.19","-149.99","A","POB"
"99529","AK","Anchorage","Anchorage","2","20","61.22","-149.89","A","GD"
"99530","AK","Anchorage","Anchorage","2","20","61.15","-149.94","A","GD"
